İzmir Torbalı SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1,1 ile 14. satır aralığı V1 genel performans tablosudur,,,,,,,Only İzmir,,,,,,,,Saatlik 1. slot yetişme oranları,,,,,,,,,,Inbound adetler,,,,,,,,,,,,,,,,
Genel v1 performans,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Genel v1 performans,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Genel v1 performans,23,0,1,2,3,4,5,6,,Genel v1 performans,23,0,1,2,3,4,5,6,,Genel v1 performans,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
YTD,"74,99%","12,79%",6.486.574,1.106.217,8.650.012,9.732.425,,YTD,"78,03%","12,62%",4.344.922,702.658,5.568.398,9.207.455,,YTD,"94,41%","92,87%","93,62%","92,43%","84,97%","72,30%","47,96%","17,14%",,YTD,"16,50%","5,63%","8,65%","11,57%","14,32%","21,26%","13,20%","8,87%",,YTD,"74,99%","12,79%",6.486.574,1.106.217,8.650.012,9.732.425
Ankara Kazan SC,"86,35%","6,47%",1.336.457,100.117,1.547.641,1.763.438,,Ankara Kazan SC,"86,94%","6,88%",872.371,69.028,1.003.437,1.679.029,,Ankara Kazan SC,"94,20%","93,48%","92,46%","90,97%","83,18%","78,69%","59,55%","18,42%",,Ankara Kazan SC,409.251,247.935,335.479,293.606,83.172,34.768,46.020,97.410,,Pazartesi,"86,20%","3,92%",411.827,18.726,477.756,670.053
Esenyurt SC ,"79,30%","10,98%",1.589.233,220.041,2.004.006,2.108.787,,Esenyurt SC ,"82,43%","10,68%",1.049.924,136.069,1.273.675,1.970.657,,Esenyurt SC ,"94,77%","94,35%","95,71%","95,89%","93,06%","82,85%","56,69%","24,73%",,Esenyurt SC ,443.207,101.065,294.370,339.270,171.217,99.993,273.366,281.518,,Salı,"67,65%","16,45%",1.226.716,298.285,1.813.284,2.057.830
Gebze SC,"78,73%","10,81%",1.018.181,139.789,1.293.196,1.393.946,,Gebze SC,"80,37%","11,22%",683.166,95.381,850.044,1.330.453,,Gebze SC,"94,21%","91,12%","93,13%","90,80%","85,29%","71,39%","30,12%","11,51%",,Gebze SC,316.492,72.918,94.760,200.505,218.436,208.096,147.436,34.553,,Çarşamba,"73,08%","14,03%",1.114.972,214.059,1.525.734,1.661.604
İkitelli-Defne Transfer Merkezi,"62,32%","19,52%",574.103,179.852,921.145,971.344,,İkitelli-Defne Transfer Merkezi,"67,73%","18,76%",398.243,110.282,587.959,914.133,,İkitelli-Defne Transfer Merkezi,"93,15%","91,18%","94,34%","90,33%","82,44%","68,01%","47,37%","9,23%",,İkitelli-Defne Transfer Merkezi,149.715,38.438,7.892,12.744,52.159,291.465,276.266,92.466,,Perşembe,"73,34%","13,94%",1.041.366,197.904,1.419.849,1.568.286
Ayazağa Konsolidasyon Merkezi,"69,66%","13,98%",382.215,76.711,548.678,608.704,,Ayazağa Konsolidasyon Merkezi,"74,86%","13,45%",269.192,48.371,359.602,581.983,,Ayazağa Konsolidasyon Merkezi,"0,00%","0,00%","0,00%","88,11%","82,79%","72,69%","48,37%","27,27%",,Ayazağa Konsolidasyon Merkezi,0,0,0,15.794,81.699,346.124,96.814,8.247,,Cuma,"69,43%","17,31%",808.153,201.519,1.163.997,1.309.626
Halkalı Konsolidasyon Merkezi,"63,79%","18,62%",362.320,105.745,567.948,648.051,,Halkalı Konsolidasyon Merkezi,"69,39%","17,99%",254.581,65.998,366.902,617.671,,Halkalı Konsolidasyon Merkezi,"0,00%","0,00%","0,00%","90,38%","78,76%","73,30%","42,51%","4,68%",,Halkalı Konsolidasyon Merkezi,0,0,0,13.842,79.168,348.996,68.064,57.878,,Cumartesi,"71,44%","15,35%",775.014,166.470,1.084.832,1.208.220
Maltepe Konsolidasyon Merkezi,"80,42%","9,12%",562.196,63.732,699.043,921.462,,Maltepe Konsolidasyon Merkezi,"83,37%","8,86%",376.310,39.993,451.369,871.662,,Maltepe Konsolidasyon Merkezi,"0,00%","0,00%","95,27%","90,01%","82,90%","73,85%","44,46%","60,87%",,Maltepe Konsolidasyon Merkezi,0,0,4.442,111.534,402.796,145.173,30.071,5.027,,Pazar,"95,19%","0,79%",1.108.526,9.254,1.164.560,1.256.806
Bursa MH,"63,91%","18,59%",438.860,127.686,686.732,756.278,,Bursa MH,"68,17%","18,16%",297.294,79.177,436.082,712.223,,Bursa MH,"93,73%","89,80%","0,00%","88,46%","84,33%","69,12%","46,84%","11,56%",,Bursa MH,59.486,22.345,0,7.151,72.296,308.082,163.498,53.874,,,,,,,,
Antalya MH,"65,09%","9,47%",31.005,4.512,47.632,136.417,,Antalya MH,"60,12%","16,72%",20.280,5.639,33.731,141.464,,Antalya MH,"0,00%","81,84%","73,85%","85,04%","80,30%","73,73%","66,43%","6,06%",,Antalya MH,0,2.048,5.422,1.457,16.736,12.484,1.436,8.049,,,,,,,,
Çayırova-Erguvan Transfer Merkezi,"55,52%","29,81%",153.379,82.346,276.243,285.095,,Çayırova-Erguvan Transfer Merkezi,"59,67%","27,82%",98.340,45.855,164.799,246.509,,Çayırova-Erguvan Transfer Merkezi,"98,71%","0,00%","0,00%","95,44%","96,66%","83,06%","59,31%","13,50%",,Çayırova-Erguvan Transfer Merkezi,49.428,0,0,5.062,40.876,26.943,37.293,116.641,,,,,,,,
Denizli MH,"66,89%","9,85%",38.626,5.686,57.749,138.903,,Denizli MH,"61,82%","16,83%",25.221,6.865,40.798,141.671,,Denizli MH,"0,00%","85,73%","78,55%","0,00%","83,83%","79,79%","72,53%","7,80%",,Denizli MH,0,2.208,5.692,0,19.916,16.708,1.860,11.365,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
